Product ID,Features,Mutation Operator,Mutation Element,Mutant ID,Is Mutant Valid?,Is Fault Detected?
1,P01: <t>,Event Inserter,close/!f-coffee/co,coffee/co-serveTea/t,44,true,true
1,P01: <t>,Event Inserter,close/!f-coffee/co,coffee/co-change/!f,45,true,true
1,P01: <t>,Event Inserter,close/!f-coffee/co,coffee/co-tea/t,46,true,true
1,P01: <t>,Event Inserter,close/!f-coffee/co,coffee/co-open/!f,47,true,true
1,P01: <t>,Event Inserter,close/!f-coffee/co,coffee/co-take/!f,48,true,true
1,P01: <t>,Event Inserter,close/!f-coffee/co,coffee/co-close/!f,49,true,true
2,P02: <f- t>,Event Inserter,serveTea/t-coffee/co,coffee/co-serveTea/t,1,true,true
2,P02: <f- t>,Event Inserter,serveTea/t-coffee/co,coffee/co-free/f,2,true,true
2,P02: <f- t>,Event Inserter,serveTea/t-coffee/co,coffee/co-tea/t,3,true,true
2,P02: <f- t>,Event Inserter,serveTea/t-coffee/co,coffee/co-take/f,4,true,true
2,P02: <f- t>,Event Inserter,free/f-coffee/co,coffee/co-serveTea/t,5,true,true
2,P02: <f- t>,Event Inserter,free/f-coffee/co,coffee/co-free/f,6,true,true
2,P02: <f- t>,Event Inserter,free/f-coffee/co,coffee/co-tea/t,7,true,true
2,P02: <f- t>,Event Inserter,free/f-coffee/co,coffee/co-take/f,8,true,true
2,P02: <f- t>,Event Inserter,tea/t-coffee/co,coffee/co-serveTea/t,9,true,true
2,P02: <f- t>,Event Inserter,tea/t-coffee/co,coffee/co-free/f,10,true,true
2,P02: <f- t>,Event Inserter,tea/t-coffee/co,coffee/co-tea/t,11,true,true
2,P02: <f- t>,Event Inserter,tea/t-coffee/co,coffee/co-take/f,12,true,true
2,P02: <f- t>,Event Inserter,take/f-coffee/co,coffee/co-serveTea/t,13,true,true
2,P02: <f- t>,Event Inserter,take/f-coffee/co,coffee/co-free/f,14,true,true
2,P02: <f- t>,Event Inserter,take/f-coffee/co,coffee/co-tea/t,15,true,true
2,P02: <f- t>,Event Inserter,take/f-coffee/co,coffee/co-take/f,16,true,true
3,P03: <c- t>,Event Inserter,pay/!f-coffee/co,coffee/co-pay/!f,1,true,true
3,P03: <c- t>,Event Inserter,pay/!f-coffee/co,coffee/co-cancel/c,2,true,true
3,P03: <c- t>,Event Inserter,pay/!f-coffee/co,coffee/co-return/c,3,true,true
3,P03: <c- t>,Event Inserter,pay/!f-coffee/co,coffee/co-serveTea/t,4,true,true
3,P03: <c- t>,Event Inserter,pay/!f-coffee/co,coffee/co-change/!f,5,true,true
3,P03: <c- t>,Event Inserter,pay/!f-coffee/co,coffee/co-tea/t,6,true,true
3,P03: <c- t>,Event Inserter,pay/!f-coffee/co,coffee/co-open/!f,7,true,true
3,P03: <c- t>,Event Inserter,pay/!f-coffee/co,coffee/co-take/!f,8,true,true
3,P03: <c- t>,Event Inserter,pay/!f-coffee/co,coffee/co-close/!f,9,true,true
3,P03: <c- t>,Event Inserter,cancel/c-coffee/co,coffee/co-pay/!f,10,true,true
3,P03: <c- t>,Event Inserter,cancel/c-coffee/co,coffee/co-cancel/c,11,true,true
3,P03: <c- t>,Event Inserter,cancel/c-coffee/co,coffee/co-return/c,12,true,true
3,P03: <c- t>,Event Inserter,cancel/c-coffee/co,coffee/co-serveTea/t,13,true,true
3,P03: <c- t>,Event Inserter,cancel/c-coffee/co,coffee/co-change/!f,14,true,true
3,P03: <c- t>,Event Inserter,cancel/c-coffee/co,coffee/co-tea/t,15,true,true
3,P03: <c- t>,Event Inserter,cancel/c-coffee/co,coffee/co-open/!f,16,true,true
3,P03: <c- t>,Event Inserter,cancel/c-coffee/co,coffee/co-take/!f,17,true,true
3,P03: <c- t>,Event Inserter,cancel/c-coffee/co,coffee/co-close/!f,18,true,true
3,P03: <c- t>,Event Inserter,return/c-coffee/co,coffee/co-pay/!f,19,true,true
3,P03: <c- t>,Event Inserter,return/c-coffee/co,coffee/co-cancel/c,20,true,true
3,P03: <c- t>,Event Inserter,return/c-coffee/co,coffee/co-return/c,21,true,true
3,P03: <c- t>,Event Inserter,return/c-coffee/co,coffee/co-serveTea/t,22,true,true
3,P03: <c- t>,Event Inserter,return/c-coffee/co,coffee/co-change/!f,23,true,true
3,P03: <c- t>,Event Inserter,return/c-coffee/co,coffee/co-tea/t,24,true,true
3,P03: <c- t>,Event Inserter,return/c-coffee/co,coffee/co-open/!f,25,true,true
3,P03: <c- t>,Event Inserter,return/c-coffee/co,coffee/co-take/!f,26,true,true
3,P03: <c- t>,Event Inserter,return/c-coffee/co,coffee/co-close/!f,27,true,true
3,P03: <c- t>,Event Inserter,serveTea/t-coffee/co,coffee/co-pay/!f,28,true,true
3,P03: <c- t>,Event Inserter,serveTea/t-coffee/co,coffee/co-cancel/c,29,true,true
3,P03: <c- t>,Event Inserter,serveTea/t-coffee/co,coffee/co-return/c,30,true,true
3,P03: <c- t>,Event Inserter,serveTea/t-coffee/co,coffee/co-serveTea/t,31,true,true
3,P03: <c- t>,Event Inserter,serveTea/t-coffee/co,coffee/co-change/!f,32,true,true
3,P03: <c- t>,Event Inserter,serveTea/t-coffee/co,coffee/co-tea/t,33,true,true
3,P03: <c- t>,Event Inserter,serveTea/t-coffee/co,coffee/co-open/!f,34,true,true
3,P03: <c- t>,Event Inserter,serveTea/t-coffee/co,coffee/co-take/!f,35,true,true
3,P03: <c- t>,Event Inserter,serveTea/t-coffee/co,coffee/co-close/!f,36,true,true
3,P03: <c- t>,Event Inserter,change/!f-coffee/co,coffee/co-pay/!f,37,true,true
3,P03: <c- t>,Event Inserter,change/!f-coffee/co,coffee/co-cancel/c,38,true,true
3,P03: <c- t>,Event Inserter,change/!f-coffee/co,coffee/co-return/c,39,true,true
3,P03: <c- t>,Event Inserter,change/!f-coffee/co,coffee/co-serveTea/t,40,true,true
3,P03: <c- t>,Event Inserter,change/!f-coffee/co,coffee/co-change/!f,41,true,true
3,P03: <c- t>,Event Inserter,change/!f-coffee/co,coffee/co-tea/t,42,true,true
3,P03: <c- t>,Event Inserter,change/!f-coffee/co,coffee/co-open/!f,43,true,true
3,P03: <c- t>,Event Inserter,change/!f-coffee/co,coffee/co-take/!f,44,true,true
3,P03: <c- t>,Event Inserter,change/!f-coffee/co,coffee/co-close/!f,45,true,true
3,P03: <c- t>,Event Inserter,tea/t-coffee/co,coffee/co-pay/!f,46,true,true
3,P03: <c- t>,Event Inserter,tea/t-coffee/co,coffee/co-cancel/c,47,true,true
3,P03: <c- t>,Event Inserter,tea/t-coffee/co,coffee/co-return/c,48,true,true
3,P03: <c- t>,Event Inserter,tea/t-coffee/co,coffee/co-serveTea/t,49,true,true
3,P03: <c- t>,Event Inserter,tea/t-coffee/co,coffee/co-change/!f,50,true,true
3,P03: <c- t>,Event Inserter,tea/t-coffee/co,coffee/co-tea/t,51,true,true
3,P03: <c- t>,Event Inserter,tea/t-coffee/co,coffee/co-open/!f,52,true,true
3,P03: <c- t>,Event Inserter,tea/t-coffee/co,coffee/co-take/!f,53,true,true
3,P03: <c- t>,Event Inserter,tea/t-coffee/co,coffee/co-close/!f,54,true,true
3,P03: <c- t>,Event Inserter,open/!f-coffee/co,coffee/co-pay/!f,55,true,true
3,P03: <c- t>,Event Inserter,open/!f-coffee/co,coffee/co-cancel/c,56,true,true
3,P03: <c- t>,Event Inserter,open/!f-coffee/co,coffee/co-return/c,57,true,true
3,P03: <c- t>,Event Inserter,open/!f-coffee/co,coffee/co-serveTea/t,58,true,true
3,P03: <c- t>,Event Inserter,open/!f-coffee/co,coffee/co-change/!f,59,true,true
3,P03: <c- t>,Event Inserter,open/!f-coffee/co,coffee/co-tea/t,60,true,true
3,P03: <c- t>,Event Inserter,open/!f-coffee/co,coffee/co-open/!f,61,true,true
3,P03: <c- t>,Event Inserter,open/!f-coffee/co,coffee/co-take/!f,62,true,true
3,P03: <c- t>,Event Inserter,open/!f-coffee/co,coffee/co-close/!f,63,true,true
3,P03: <c- t>,Event Inserter,take/!f-coffee/co,coffee/co-pay/!f,64,true,true
3,P03: <c- t>,Event Inserter,take/!f-coffee/co,coffee/co-cancel/c,65,true,true
3,P03: <c- t>,Event Inserter,take/!f-coffee/co,coffee/co-return/c,66,true,true
3,P03: <c- t>,Event Inserter,take/!f-coffee/co,coffee/co-serveTea/t,67,true,true
3,P03: <c- t>,Event Inserter,take/!f-coffee/co,coffee/co-change/!f,68,true,true
3,P03: <c- t>,Event Inserter,take/!f-coffee/co,coffee/co-tea/t,69,true,true
3,P03: <c- t>,Event Inserter,take/!f-coffee/co,coffee/co-open/!f,70,true,true
3,P03: <c- t>,Event Inserter,take/!f-coffee/co,coffee/co-take/!f,71,true,true
3,P03: <c- t>,Event Inserter,take/!f-coffee/co,coffee/co-close/!f,72,true,true
3,P03: <c- t>,Event Inserter,close/!f-coffee/co,coffee/co-pay/!f,73,true,true
3,P03: <c- t>,Event Inserter,close/!f-coffee/co,coffee/co-cancel/c,74,true,true
3,P03: <c- t>,Event Inserter,close/!f-coffee/co,coffee/co-return/c,75,true,true
3,P03: <c- t>,Event Inserter,close/!f-coffee/co,coffee/co-serveTea/t,76,true,true
3,P03: <c- t>,Event Inserter,close/!f-coffee/co,coffee/co-change/!f,77,true,true
3,P03: <c- t>,Event Inserter,close/!f-coffee/co,coffee/co-tea/t,78,true,true
3,P03: <c- t>,Event Inserter,close/!f-coffee/co,coffee/co-open/!f,79,true,true
3,P03: <c- t>,Event Inserter,close/!f-coffee/co,coffee/co-take/!f,80,true,true
3,P03: <c- t>,Event Inserter,close/!f-coffee/co,coffee/co-close/!f,81,true,true
4,P04: <f- c- t>,Event Inserter,cancel/c-coffee/co,coffee/co-cancel/c,1,true,true
4,P04: <f- c- t>,Event Inserter,cancel/c-coffee/co,coffee/co-return/c,2,true,true
4,P04: <f- c- t>,Event Inserter,cancel/c-coffee/co,coffee/co-serveTea/t,3,true,true
4,P04: <f- c- t>,Event Inserter,cancel/c-coffee/co,coffee/co-free/f,4,true,true
4,P04: <f- c- t>,Event Inserter,cancel/c-coffee/co,coffee/co-tea/t,5,true,true
4,P04: <f- c- t>,Event Inserter,cancel/c-coffee/co,coffee/co-take/f,6,true,true
4,P04: <f- c- t>,Event Inserter,return/c-coffee/co,coffee/co-cancel/c,7,true,true
4,P04: <f- c- t>,Event Inserter,return/c-coffee/co,coffee/co-return/c,8,true,true
4,P04: <f- c- t>,Event Inserter,return/c-coffee/co,coffee/co-serveTea/t,9,true,true
4,P04: <f- c- t>,Event Inserter,return/c-coffee/co,coffee/co-free/f,10,true,true
4,P04: <f- c- t>,Event Inserter,return/c-coffee/co,coffee/co-tea/t,11,true,true
4,P04: <f- c- t>,Event Inserter,return/c-coffee/co,coffee/co-take/f,12,true,true
4,P04: <f- c- t>,Event Inserter,serveTea/t-coffee/co,coffee/co-cancel/c,13,true,true
4,P04: <f- c- t>,Event Inserter,serveTea/t-coffee/co,coffee/co-return/c,14,true,true
4,P04: <f- c- t>,Event Inserter,serveTea/t-coffee/co,coffee/co-serveTea/t,15,true,true
4,P04: <f- c- t>,Event Inserter,serveTea/t-coffee/co,coffee/co-free/f,16,true,true
4,P04: <f- c- t>,Event Inserter,serveTea/t-coffee/co,coffee/co-tea/t,17,true,true
4,P04: <f- c- t>,Event Inserter,serveTea/t-coffee/co,coffee/co-take/f,18,true,true
4,P04: <f- c- t>,Event Inserter,free/f-coffee/co,coffee/co-cancel/c,19,true,true
4,P04: <f- c- t>,Event Inserter,free/f-coffee/co,coffee/co-return/c,20,true,true
4,P04: <f- c- t>,Event Inserter,free/f-coffee/co,coffee/co-serveTea/t,21,true,true
4,P04: <f- c- t>,Event Inserter,free/f-coffee/co,coffee/co-free/f,22,true,true
4,P04: <f- c- t>,Event Inserter,free/f-coffee/co,coffee/co-tea/t,23,true,true
4,P04: <f- c- t>,Event Inserter,free/f-coffee/co,coffee/co-take/f,24,true,true
4,P04: <f- c- t>,Event Inserter,tea/t-coffee/co,coffee/co-cancel/c,25,true,true
4,P04: <f- c- t>,Event Inserter,tea/t-coffee/co,coffee/co-return/c,26,true,true
4,P04: <f- c- t>,Event Inserter,tea/t-coffee/co,coffee/co-serveTea/t,27,true,true
4,P04: <f- c- t>,Event Inserter,tea/t-coffee/co,coffee/co-free/f,28,true,true
4,P04: <f- c- t>,Event Inserter,tea/t-coffee/co,coffee/co-tea/t,29,true,true
4,P04: <f- c- t>,Event Inserter,tea/t-coffee/co,coffee/co-take/f,30,true,true
4,P04: <f- c- t>,Event Inserter,take/f-coffee/co,coffee/co-cancel/c,31,true,true
4,P04: <f- c- t>,Event Inserter,take/f-coffee/co,coffee/co-return/c,32,true,true
4,P04: <f- c- t>,Event Inserter,take/f-coffee/co,coffee/co-serveTea/t,33,true,true
4,P04: <f- c- t>,Event Inserter,take/f-coffee/co,coffee/co-free/f,34,true,true
4,P04: <f- c- t>,Event Inserter,take/f-coffee/co,coffee/co-tea/t,35,true,true
4,P04: <f- c- t>,Event Inserter,take/f-coffee/co,coffee/co-take/f,36,true,true
5,P05: <s>,Event Inserter,soda/s-coffee/co,coffee/co-soda/s,1,true,true
5,P05: <s>,Event Inserter,soda/s-coffee/co,coffee/co-serveSoda/s,2,true,true
5,P05: <s>,Event Inserter,soda/s-coffee/co,coffee/co-pay/!f,3,true,true
5,P05: <s>,Event Inserter,soda/s-coffee/co,coffee/co-change/!f,4,true,true
5,P05: <s>,Event Inserter,soda/s-coffee/co,coffee/co-open/!f,5,true,true
5,P05: <s>,Event Inserter,soda/s-coffee/co,coffee/co-take/!f,6,true,true
5,P05: <s>,Event Inserter,soda/s-coffee/co,coffee/co-close/!f,7,true,true
5,P05: <s>,Event Inserter,serveSoda/s-coffee/co,coffee/co-soda/s,8,true,true
5,P05: <s>,Event Inserter,serveSoda/s-coffee/co,coffee/co-serveSoda/s,9,true,true
5,P05: <s>,Event Inserter,serveSoda/s-coffee/co,coffee/co-pay/!f,10,true,true
5,P05: <s>,Event Inserter,serveSoda/s-coffee/co,coffee/co-change/!f,11,true,true
5,P05: <s>,Event Inserter,serveSoda/s-coffee/co,coffee/co-open/!f,12,true,true
5,P05: <s>,Event Inserter,serveSoda/s-coffee/co,coffee/co-take/!f,13,true,true
5,P05: <s>,Event Inserter,serveSoda/s-coffee/co,coffee/co-close/!f,14,true,true
5,P05: <s>,Event Inserter,pay/!f-coffee/co,coffee/co-soda/s,15,true,true
5,P05: <s>,Event Inserter,pay/!f-coffee/co,coffee/co-serveSoda/s,16,true,true
5,P05: <s>,Event Inserter,pay/!f-coffee/co,coffee/co-pay/!f,17,true,true
5,P05: <s>,Event Inserter,pay/!f-coffee/co,coffee/co-change/!f,18,true,true
5,P05: <s>,Event Inserter,pay/!f-coffee/co,coffee/co-open/!f,19,true,true
5,P05: <s>,Event Inserter,pay/!f-coffee/co,coffee/co-take/!f,20,true,true
5,P05: <s>,Event Inserter,pay/!f-coffee/co,coffee/co-close/!f,21,true,true
5,P05: <s>,Event Inserter,change/!f-coffee/co,coffee/co-soda/s,22,true,true
5,P05: <s>,Event Inserter,change/!f-coffee/co,coffee/co-serveSoda/s,23,true,true
5,P05: <s>,Event Inserter,change/!f-coffee/co,coffee/co-pay/!f,24,true,true
5,P05: <s>,Event Inserter,change/!f-coffee/co,coffee/co-change/!f,25,true,true
5,P05: <s>,Event Inserter,change/!f-coffee/co,coffee/co-open/!f,26,true,true
5,P05: <s>,Event Inserter,change/!f-coffee/co,coffee/co-take/!f,27,true,true
5,P05: <s>,Event Inserter,change/!f-coffee/co,coffee/co-close/!f,28,true,true
5,P05: <s>,Event Inserter,open/!f-coffee/co,coffee/co-soda/s,29,true,true
5,P05: <s>,Event Inserter,open/!f-coffee/co,coffee/co-serveSoda/s,30,true,true
5,P05: <s>,Event Inserter,open/!f-coffee/co,coffee/co-pay/!f,31,true,true
5,P05: <s>,Event Inserter,open/!f-coffee/co,coffee/co-change/!f,32,true,true
5,P05: <s>,Event Inserter,open/!f-coffee/co,coffee/co-open/!f,33,true,true
5,P05: <s>,Event Inserter,open/!f-coffee/co,coffee/co-take/!f,34,true,true
5,P05: <s>,Event Inserter,open/!f-coffee/co,coffee/co-close/!f,35,true,true
5,P05: <s>,Event Inserter,take/!f-coffee/co,coffee/co-soda/s,36,true,true
5,P05: <s>,Event Inserter,take/!f-coffee/co,coffee/co-serveSoda/s,37,true,true
5,P05: <s>,Event Inserter,take/!f-coffee/co,coffee/co-pay/!f,38,true,true
5,P05: <s>,Event Inserter,take/!f-coffee/co,coffee/co-change/!f,39,true,true
5,P05: <s>,Event Inserter,take/!f-coffee/co,coffee/co-open/!f,40,true,true
5,P05: <s>,Event Inserter,take/!f-coffee/co,coffee/co-take/!f,41,true,true
5,P05: <s>,Event Inserter,take/!f-coffee/co,coffee/co-close/!f,42,true,true
5,P05: <s>,Event Inserter,close/!f-coffee/co,coffee/co-soda/s,43,true,true
5,P05: <s>,Event Inserter,close/!f-coffee/co,coffee/co-serveSoda/s,44,true,true
5,P05: <s>,Event Inserter,close/!f-coffee/co,coffee/co-pay/!f,45,true,true
5,P05: <s>,Event Inserter,close/!f-coffee/co,coffee/co-change/!f,46,true,true
5,P05: <s>,Event Inserter,close/!f-coffee/co,coffee/co-open/!f,47,true,true
5,P05: <s>,Event Inserter,close/!f-coffee/co,coffee/co-take/!f,48,true,true
5,P05: <s>,Event Inserter,close/!f-coffee/co,coffee/co-close/!f,49,true,true
6,P06: <s- f>,Event Inserter,soda/s-coffee/co,coffee/co-soda/s,1,true,true
6,P06: <s- f>,Event Inserter,soda/s-coffee/co,coffee/co-serveSoda/s,2,true,true
6,P06: <s- f>,Event Inserter,soda/s-coffee/co,coffee/co-free/f,3,true,true
6,P06: <s- f>,Event Inserter,soda/s-coffee/co,coffee/co-take/f,4,true,true
6,P06: <s- f>,Event Inserter,serveSoda/s-coffee/co,coffee/co-soda/s,5,true,true
6,P06: <s- f>,Event Inserter,serveSoda/s-coffee/co,coffee/co-serveSoda/s,6,true,true
6,P06: <s- f>,Event Inserter,serveSoda/s-coffee/co,coffee/co-free/f,7,true,true
6,P06: <s- f>,Event Inserter,serveSoda/s-coffee/co,coffee/co-take/f,8,true,true
6,P06: <s- f>,Event Inserter,free/f-coffee/co,coffee/co-soda/s,9,true,true
6,P06: <s- f>,Event Inserter,free/f-coffee/co,coffee/co-serveSoda/s,10,true,true
6,P06: <s- f>,Event Inserter,free/f-coffee/co,coffee/co-free/f,11,true,true
6,P06: <s- f>,Event Inserter,free/f-coffee/co,coffee/co-take/f,12,true,true
6,P06: <s- f>,Event Inserter,take/f-coffee/co,coffee/co-soda/s,13,true,true
6,P06: <s- f>,Event Inserter,take/f-coffee/co,coffee/co-serveSoda/s,14,true,true
6,P06: <s- f>,Event Inserter,take/f-coffee/co,coffee/co-free/f,15,true,true
6,P06: <s- f>,Event Inserter,take/f-coffee/co,coffee/co-take/f,16,true,true
7,P07: <s- c>,Event Inserter,soda/s-coffee/co,coffee/co-soda/s,1,true,true
7,P07: <s- c>,Event Inserter,soda/s-coffee/co,coffee/co-serveSoda/s,2,true,true
7,P07: <s- c>,Event Inserter,soda/s-coffee/co,coffee/co-pay/!f,3,true,true
7,P07: <s- c>,Event Inserter,soda/s-coffee/co,coffee/co-cancel/c,4,true,true
7,P07: <s- c>,Event Inserter,soda/s-coffee/co,coffee/co-return/c,5,true,true
7,P07: <s- c>,Event Inserter,soda/s-coffee/co,coffee/co-change/!f,6,true,true
7,P07: <s- c>,Event Inserter,soda/s-coffee/co,coffee/co-open/!f,7,true,true
7,P07: <s- c>,Event Inserter,soda/s-coffee/co,coffee/co-take/!f,8,true,true
7,P07: <s- c>,Event Inserter,soda/s-coffee/co,coffee/co-close/!f,9,true,true
7,P07: <s- c>,Event Inserter,serveSoda/s-coffee/co,coffee/co-soda/s,10,true,true
7,P07: <s- c>,Event Inserter,serveSoda/s-coffee/co,coffee/co-serveSoda/s,11,true,true
7,P07: <s- c>,Event Inserter,serveSoda/s-coffee/co,coffee/co-pay/!f,12,true,true
7,P07: <s- c>,Event Inserter,serveSoda/s-coffee/co,coffee/co-cancel/c,13,true,true
7,P07: <s- c>,Event Inserter,serveSoda/s-coffee/co,coffee/co-return/c,14,true,true
7,P07: <s- c>,Event Inserter,serveSoda/s-coffee/co,coffee/co-change/!f,15,true,true
7,P07: <s- c>,Event Inserter,serveSoda/s-coffee/co,coffee/co-open/!f,16,true,true
7,P07: <s- c>,Event Inserter,serveSoda/s-coffee/co,coffee/co-take/!f,17,true,true
7,P07: <s- c>,Event Inserter,serveSoda/s-coffee/co,coffee/co-close/!f,18,true,true
7,P07: <s- c>,Event Inserter,pay/!f-coffee/co,coffee/co-soda/s,19,true,true
7,P07: <s- c>,Event Inserter,pay/!f-coffee/co,coffee/co-serveSoda/s,20,true,true
7,P07: <s- c>,Event Inserter,pay/!f-coffee/co,coffee/co-pay/!f,21,true,true
7,P07: <s- c>,Event Inserter,pay/!f-coffee/co,coffee/co-cancel/c,22,true,true
7,P07: <s- c>,Event Inserter,pay/!f-coffee/co,coffee/co-return/c,23,true,true
7,P07: <s- c>,Event Inserter,pay/!f-coffee/co,coffee/co-change/!f,24,true,true
7,P07: <s- c>,Event Inserter,pay/!f-coffee/co,coffee/co-open/!f,25,true,true
7,P07: <s- c>,Event Inserter,pay/!f-coffee/co,coffee/co-take/!f,26,true,true
7,P07: <s- c>,Event Inserter,pay/!f-coffee/co,coffee/co-close/!f,27,true,true
7,P07: <s- c>,Event Inserter,cancel/c-coffee/co,coffee/co-soda/s,28,true,true
7,P07: <s- c>,Event Inserter,cancel/c-coffee/co,coffee/co-serveSoda/s,29,true,true
7,P07: <s- c>,Event Inserter,cancel/c-coffee/co,coffee/co-pay/!f,30,true,true
7,P07: <s- c>,Event Inserter,cancel/c-coffee/co,coffee/co-cancel/c,31,true,true
7,P07: <s- c>,Event Inserter,cancel/c-coffee/co,coffee/co-return/c,32,true,true
7,P07: <s- c>,Event Inserter,cancel/c-coffee/co,coffee/co-change/!f,33,true,true
7,P07: <s- c>,Event Inserter,cancel/c-coffee/co,coffee/co-open/!f,34,true,true
7,P07: <s- c>,Event Inserter,cancel/c-coffee/co,coffee/co-take/!f,35,true,true
7,P07: <s- c>,Event Inserter,cancel/c-coffee/co,coffee/co-close/!f,36,true,true
7,P07: <s- c>,Event Inserter,return/c-coffee/co,coffee/co-soda/s,37,true,true
7,P07: <s- c>,Event Inserter,return/c-coffee/co,coffee/co-serveSoda/s,38,true,true
7,P07: <s- c>,Event Inserter,return/c-coffee/co,coffee/co-pay/!f,39,true,true
7,P07: <s- c>,Event Inserter,return/c-coffee/co,coffee/co-cancel/c,40,true,true
7,P07: <s- c>,Event Inserter,return/c-coffee/co,coffee/co-return/c,41,true,true
7,P07: <s- c>,Event Inserter,return/c-coffee/co,coffee/co-change/!f,42,true,true
7,P07: <s- c>,Event Inserter,return/c-coffee/co,coffee/co-open/!f,43,true,true
7,P07: <s- c>,Event Inserter,return/c-coffee/co,coffee/co-take/!f,44,true,true
7,P07: <s- c>,Event Inserter,return/c-coffee/co,coffee/co-close/!f,45,true,true
7,P07: <s- c>,Event Inserter,change/!f-coffee/co,coffee/co-soda/s,46,true,true
7,P07: <s- c>,Event Inserter,change/!f-coffee/co,coffee/co-serveSoda/s,47,true,true
7,P07: <s- c>,Event Inserter,change/!f-coffee/co,coffee/co-pay/!f,48,true,true
7,P07: <s- c>,Event Inserter,change/!f-coffee/co,coffee/co-cancel/c,49,true,true
7,P07: <s- c>,Event Inserter,change/!f-coffee/co,coffee/co-return/c,50,true,true
7,P07: <s- c>,Event Inserter,change/!f-coffee/co,coffee/co-change/!f,51,true,true
7,P07: <s- c>,Event Inserter,change/!f-coffee/co,coffee/co-open/!f,52,true,true
7,P07: <s- c>,Event Inserter,change/!f-coffee/co,coffee/co-take/!f,53,true,true
